Detected CSV format: v2.1 (with device arch and worker core count)
Using user-specified architecture: blackhole (CSV detected blackhole)
Architecture: blackhole, Worker cores: 110
Sorting CSV by 'HOST START TS' column...
Using operations after 'FULL_MODEL_REDUCED_DECODE'.
Using operations until 'FULL_MODEL_REDUCED_DECODE_END'.
Detected data from 4 devices. Merging device data...

🚀 Performance Report 🚀
========================

ID     Total %  Bound  OP Code                                                     Device   Device Time  Op-to-Op Gap  Cores  DRAM      DRAM %  FLOPs        FLOPs %  Math Fidelity
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 4882    1.2 %         LayerNormDeviceOperation                                          0        34 μs          1 μs      1                                                 BF16, BF16 => BF16
 4892    0.1 %         SliceDeviceOperation                                              0         1 μs          1 μs      1                                                   UINT16 => UINT16
 4897    0.1 %         UntilizeWithUnpaddingDeviceOperation                              0         1 μs          1 μs      1                                                       BF16 => BF16
 4900    0.1 %         UntilizeWithUnpaddingDeviceOperation                              0         1 μs          1 μs      1                                                   UINT16 => UINT16
 4906    0.1 %         SliceDeviceOperation                                              0         2 μs          1 μs     48                                                       BF16 => BF16
 4914    0.1 %         FastReduceNCDeviceOperation                                       0         3 μs          1 μs     88                                                       BF16 => BF16
 4916    0.1 %         InterleavedToShardedDeviceOperation                               0         1 μs          0 μs     88                                                       BF16 => BF16
 4917    0.7 %         AllReduceAsyncDeviceOperation                                     0        18 μs          1 μs     90                                                 BF16, BF16 => BF16
 4921    1.3 %         LayerNormDeviceOperation                                          0        34 μs          1 μs      1                                                 BF16, BF16 => BF16
 4929    0.1 %         PlusOneDeviceOperation                                            0         1 μs          1 μs      1                                                     INT32 => INT32
 4934    0.1 %         SliceDeviceOperation                                              3         2 μs          1 μs     88                                                       BF16 => BF16
 4935    0.1 %         SliceDeviceOperation                                              3         1 μs          1 μs      1                                                     INT32 => INT32
 4936    0.1 %         SliceDeviceOperation                                              3         1 μs          1 μs      1                                                   UINT32 => UINT32
 4938    0.4 %         TilizeWithValPaddingDeviceOperation                               3        11 μs          1 μs      1                                                       BF16 => BF16
 4944    0.1 %         ShardedToInterleavedDeviceOperation                               3         1 μs          1 μs     22                                                       BF16 => BF16
 4953    0.2 %         LayerNormDeviceOperation                                          3         5 μs          2 μs      1                                                 BF16, BF16 => BF16
 4957    0.1 %         InterleavedToShardedDeviceOperation                               3         1 μs          1 μs      1                                                       BF16 => BF16
 4969    0.9 %   FLOP  MatmulDeviceOperation 32 x 1024 x 2816                            3        25 μs          1 μs      8  232 GB/s  45.3 %   7.4 TFLOPs   67.1 %  HiFi4 BF16 x BF16 => BF16
 4970    0.1 %         ShardedToInterleavedDeviceOperation                               3         2 μs          1 μs      8                                                       BF16 => BF16
 4976    0.1 %         BinaryNgDeviceOperation                                           3         1 μs          1 μs    110                                                 BF16, BF16 => BF16
 4979    0.1 %         InterleavedToShardedDeviceOperation                               3         2 μs          1 μs      2                                                       BF16 => BF16
 4983    0.1 %         SliceDeviceOperation                                              3         2 μs          1 μs     17                                                       BF16 => BF16
 4985    0.1 %         InterleavedToShardedDeviceOperation                               3         1 μs          1 μs      1                                                       BF16 => BF16
 4986    0.3 %   SLOW  MatmulDeviceOperation 32 x 544 x 2816                             3         9 μs          1 μs      8  172 GB/s  33.5 %  11.0 TFLOPs   24.8 %   LoFi BF16 x BFP8 => BF16
 4990    0.1 %         CopyDeviceOperation                                               3         2 μs          1 μs     88                                                       BF16 => BF16
 4991    0.2 %         LayerNormDeviceOperation                                          3         6 μs          1 μs     22                                                 BF16, BF16 => BF16
 4992    0.1 %         ShardedToInterleavedDeviceOperation                               3         1 μs          1 μs     22                                                       BF16 => BF16
 4994    1.4 %   SLOW  MatmulDeviceOperation 32 x 2816 x 128                             3        38 μs          1 μs      4   48 GB/s   9.4 %   0.6 TFLOPs   11.1 %  HiFi4 FP32 x FP32 => FP32
 4997    0.8 %         TopKDeviceOperation                                               3        22 μs          2 μs      1                                                       BF16 => BF16
 5003    0.2 %         ScatterDeviceOperation                                            3         3 μs          2 μs      1                                               BF16, UINT16 => BF16
 5009    0.1 %         SliceDeviceOperation                                              3         2 μs          1 μs     48                                                       BF16 => BF16
 5013    0.2 %         PermuteDeviceOperation                                            3         4 μs          1 μs      8                                                       BF16 => BF16
 5016    0.1 %         FastReduceNCDeviceOperation                                       3         3 μs          1 μs     88                                                       BF16 => BF16
 5020    0.1 %         CopyDeviceOperation                                               3         2 μs          1 μs     88                                                       BF16 => BF16
 5030    0.1 %         SliceDeviceOperation                                              3         1 μs          1 μs      1                                                     INT32 => INT32
 5035    0.1 %         ShardedToInterleavedDeviceOperation                               3         1 μs          1 μs      1                                                       BF16 => BF16
 5037    0.3 %         LayerNormDeviceOperation                                          3         8 μs          1 μs      1                                                 BF16, BF16 => BF16
 5038    0.3 %         LayerNormDeviceOperation                                          3         8 μs          1 μs      1                                                 BF16, BF16 => BF16
 5039    0.3 %         LayerNormDeviceOperation                                          3         7 μs          1 μs      1                                                       BF16 => BF16
 5046    0.1 %         TransposeDeviceOperation                                          3         2 μs          1 μs     16                                                       BF16 => BF16
 5048    0.1 %         InterleavedToShardedDeviceOperation                               3         1 μs          1 μs      1                                                       BF16 => BF16
 5053    0.1 %         NLPConcatHeadsDecodeDeviceOperation                               3         1 μs          1 μs      4                                                       BF16 => BF16
 5054    0.1 %         ShardedToInterleavedDeviceOperation                               3         2 μs          1 μs      4                                                       BF16 => BF16
 5055    0.1 %         InterleavedToShardedDeviceOperation                               3         2 μs          1 μs      8                                                       BF16 => BF16
 5056    0.7 %   SLOW  MatmulDeviceOperation 32 x 2048 x 2816                            3        20 μs          1 μs      8  285 GB/s  55.6 %  18.2 TFLOPs   41.2 %   LoFi BF16 x BFP8 => BF16
 5058    0.1 %         InterleavedToShardedDeviceOperation                               3         2 μs          1 μs     88                                                       BF16 => BF16
 5061    0.1 %         SliceDeviceOperation                                              3         2 μs          1 μs     88                                                       BF16 => BF16
 5062    1.2 %         LayerNormDeviceOperation                                          3        34 μs          1 μs      1                                                 BF16, BF16 => BF16
 5063    0.1 %         BinaryNgDeviceOperation                                           3         2 μs          1 μs    110                                                 BF16, BF16 => BF16
 5066    0.5 %   SLOW  MatmulDeviceOperation 32 x 2816 x 1088                            3        13 μs          1 μs      8  229 GB/s  44.8 %  14.7 TFLOPs   33.2 %   LoFi BF16 x BFP8 => BF16
 5069    0.1 %         SliceDeviceOperation                                              3         2 μs          1 μs     17                                                       BF16 => BF16
 5072    0.5 %   SLOW  MatmulDeviceOperation 32 x 544 x 2816                             3        13 μs          1 μs      8  230 GB/s  45.0 %   7.4 TFLOPs   16.7 %   LoFi BF16 x BF16 => BF16
 5074    0.1 %         InterleavedToShardedDeviceOperation                               3         2 μs          1 μs     88                                                       BF16 => BF16
 5079    0.1 %         BinaryNgDeviceOperation                                           3         3 μs          1 μs    110                                                 BF16, FP32 => BF16
 5083    0.1 %         TypecastDeviceOperation                                           3         2 μs          1 μs      4                                                       FP32 => BF16
 5084    0.2 %         FillPadDeviceOperation                                            3         5 μs          1 μs      4                                                       BF16 => BF16
 5088    0.2 %         SoftmaxDeviceOperation                                            3         6 μs          1 μs      1                                                       BF16 => BF16
 5093    0.2 %         ScatterDeviceOperation                                            3         3 μs          2 μs      1                                               BF16, UINT16 => BF16
 5104    0.2 %         UnaryDeviceOperation                                              3         4 μs          0 μs    110                                                 BF16, BF16 => BF16
 5106    0.2 %         PermuteDeviceOperation                                            3         4 μs          1 μs      8                                                       BF16 => BF16
 5107    0.3 %         BinaryNgDeviceOperation                                           3         7 μs          1 μs    110                                                 BF16, BF16 => BF16
 5113    0.1 %         ShardedToInterleavedDeviceOperation                               3         2 μs          1 μs     88                                                       BF16 => BF16
 5115    0.1 %         BinaryNgDeviceOperation                                           3         2 μs          1 μs    110                                                 BF16, BF16 => BF16
 5119   19.6 %   DRAM  MatmulDeviceOperation 32 x 2816 x 65536                           3       551 μs          1 μs    108  343 GB/s  67.0 %  21.4 TFLOPs    7.2 %  HiFi2 BF16 x BFP8 => BF16
 5121    0.8 %         UnaryDeviceOperation                                              3        23 μs          1 μs    110                                                       BF16 => BF16
 5126    0.2 %         EmbeddingsDeviceOperation                                         2         5 μs          0 μs      1                                               UINT32, BF16 => BF16
 5135    0.4 %         TilizeWithValPaddingDeviceOperation                               2        10 μs          1 μs      1                                                       BF16 => BF16
 5137    0.1 %         InterleavedToShardedDeviceOperation                               2         2 μs          1 μs     22                                                       BF16 => BF16
 5144    0.1 %         ShardedToInterleavedDeviceOperation                               2         1 μs          1 μs      1                                                       BF16 => BF16
 5146    0.1 %         ShardedToInterleavedDeviceOperation                               2         1 μs          1 μs      1                                                       BF16 => BF16
 5150    0.1 %         InterleavedToShardedDeviceOperation                               2         1 μs          1 μs      1                                                       BF16 => BF16
 5159    0.6 %         SdpaDecodeDeviceOperation                                         2        15 μs          3 μs     32                                                 BF16, BF16 => BF16
 5163    0.1 %         InterleavedToShardedDeviceOperation                               2         2 μs          1 μs      8                                                       BF16 => BF16
 5168    0.1 %         CopyDeviceOperation                                               2         2 μs          1 μs     88                                                       BF16 => BF16
 5172    0.2 %         LayerNormDeviceOperation                                          2         6 μs          1 μs     22                                                       BF16 => BF16
 5173    0.1 %         ShardedToInterleavedDeviceOperation                               2         1 μs          1 μs     22                                                       BF16 => BF16
 5183    0.1 %         InterleavedToShardedDeviceOperation                               2         1 μs          1 μs     88                                                       BF16 => BF16
 5197    0.1 %         UntilizeWithUnpaddingDeviceOperation                              2         1 μs          1 μs      1                                                       BF16 => BF16
 5201    0.1 %         UnaryDeviceOperation                                              2         2 μs          1 μs    110                                                 BF16, BF16 => BF16
 5205    0.2 %         BinaryNgDeviceOperation                                           2         5 μs          0 μs    110                                                 BF16, BF16 => BF16
