# traced-replay cross-device divergence probe, router_mode=fused_gate, ccl_mode=all_reduce, auto_stack_sum=stack_sum_async, rounds=150 replays=256 blocking=False sync_every_replay=False
# columns: layer kind replay_pattern round max_abs_diff_vs_device0 first_bad_device n_differing_devices
REPLAYDIV 0 linear_attention burst 67 0.000000e+00 - 0
REPLAYDIV 0 linear_attention burst 68 0.000000e+00 - 0
REPLAYDIV 0 linear_attention burst 69 0.000000e+00 - 0
REPLAYDIV 0 linear_attention burst 70 0.000000e+00 - 0
REPLAYDIV 0 linear_attention burst 71 0.000000e+00 - 0
REPLAYDIV 0 linear_attention burst 72 0.000000e+00 - 0
REPLAYDIV 0 linear_attention burst 73 0.000000e+00 - 0
REPLAYDIV 0 linear_attention burst 74 0.000000e+00 - 0
REPLAYDIV 0 linear_attention burst 75 0.000000e+00 - 0
REPLAYDIV 0 linear_attention burst 76 0.000000e+00 - 0
REPLAYDIV 0 linear_attention burst 77 0.000000e+00 - 0
REPLAYDIV 0 linear_attention burst 78 0.000000e+00 - 0
REPLAYDIV 0 linear_attention burst 79 0.000000e+00 - 0
REPLAYDIV 0 linear_attention burst 80 0.000000e+00 - 0
REPLAYDIV 0 linear_attention burst 81 0.000000e+00 - 0
REPLAYDIV 0 linear_attention burst 82 0.000000e+00 - 0
REPLAYDIV 0 linear_attention burst 83 0.000000e+00 - 0
REPLAYDIV 0 linear_attention burst 84 0.000000e+00 - 0
REPLAYDIV 0 linear_attention burst 85 0.000000e+00 - 0
REPLAYDIV 0 linear_attention burst 86 0.000000e+00 - 0
REPLAYDIV 0 linear_attention burst 87 0.000000e+00 - 0
REPLAYDIV 0 linear_attention burst 88 0.000000e+00 - 0
REPLAYDIV 0 linear_attention burst 89 0.000000e+00 - 0
REPLAYDIV 0 linear_attention burst 90 0.000000e+00 - 0
REPLAYDIV 0 linear_attention burst 91 0.000000e+00 - 0
REPLAYDIV 0 linear_attention burst 92 0.000000e+00 - 0
REPLAYDIV 0 linear_attention burst 93 0.000000e+00 - 0
REPLAYDIV 0 linear_attention burst 94 0.000000e+00 - 0
REPLAYDIV 0 linear_attention burst 95 0.000000e+00 - 0
REPLAYDIV 0 linear_attention burst 96 0.000000e+00 - 0
REPLAYDIV 0 linear_attention burst 97 0.000000e+00 - 0
REPLAYDIV 0 linear_attention burst 98 0.000000e+00 - 0
REPLAYDIV 0 linear_attention burst 99 0.000000e+00 - 0
REPLAYDIV 0 linear_attention burst 100 0.000000e+00 - 0
REPLAYDIV 0 linear_attention burst 101 0.000000e+00 - 0
REPLAYDIV 0 linear_attention burst 102 0.000000e+00 - 0
REPLAYDIV 0 linear_attention burst 103 0.000000e+00 - 0
REPLAYDIV 0 linear_attention burst 104 0.000000e+00 - 0
REPLAYDIV 0 linear_attention burst 105 0.000000e+00 - 0
REPLAYDIV 0 linear_attention burst 106 0.000000e+00 - 0
REPLAYDIV 0 linear_attention burst 107 0.000000e+00 - 0
REPLAYDIV 0 linear_attention burst 108 0.000000e+00 - 0
REPLAYDIV 0 linear_attention burst 109 0.000000e+00 - 0
REPLAYDIV 0 linear_attention burst 110 0.000000e+00 - 0
REPLAYDIV 0 linear_attention burst 111 0.000000e+00 - 0
REPLAYDIV 0 linear_attention burst 112 0.000000e+00 - 0
REPLAYDIV 0 linear_attention burst 113 0.000000e+00 - 0
REPLAYDIV 0 linear_attention burst 114 0.000000e+00 - 0
REPLAYDIV 0 linear_attention burst 115 0.000000e+00 - 0
REPLAYDIV 0 linear_attention burst 116 0.000000e+00 - 0
REPLAYDIV 0 linear_attention burst 117 0.000000e+00 - 0
REPLAYDIV 0 linear_attention burst 118 0.000000e+00 - 0
REPLAYDIV 0 linear_attention burst 119 0.000000e+00 - 0
REPLAYDIV 0 linear_attention burst 120 0.000000e+00 - 0
REPLAYDIV 0 linear_attention burst 121 0.000000e+00 - 0
REPLAYDIV 0 linear_attention burst 122 0.000000e+00 - 0
REPLAYDIV 0 linear_attention burst 123 0.000000e+00 - 0
REPLAYDIV 0 linear_attention burst 124 0.000000e+00 - 0
REPLAYDIV 0 linear_attention burst 125 0.000000e+00 - 0
REPLAYDIV 0 linear_attention burst 126 0.000000e+00 - 0
REPLAYDIV 0 linear_attention burst 127 0.000000e+00 - 0
REPLAYDIV 0 linear_attention burst 128 0.000000e+00 - 0
REPLAYDIV 0 linear_attention burst 129 0.000000e+00 - 0
REPLAYDIV 0 linear_attention burst 130 0.000000e+00 - 0
REPLAYDIV 0 linear_attention burst 131 0.000000e+00 - 0
REPLAYDIV 0 linear_attention burst 132 0.000000e+00 - 0
REPLAYDIV 0 linear_attention burst 133 0.000000e+00 - 0
REPLAYDIV 0 linear_attention burst 134 0.000000e+00 - 0
REPLAYDIV 0 linear_attention burst 135 0.000000e+00 - 0
REPLAYDIV 0 linear_attention burst 136 0.000000e+00 - 0
REPLAYDIV 0 linear_attention burst 137 0.000000e+00 - 0
REPLAYDIV 0 linear_attention burst 138 0.000000e+00 - 0
REPLAYDIV 0 linear_attention burst 139 0.000000e+00 - 0
REPLAYDIV 0 linear_attention burst 140 0.000000e+00 - 0
REPLAYDIV 0 linear_attention burst 141 0.000000e+00 - 0
REPLAYDIV 0 linear_attention burst 142 0.000000e+00 - 0
