Detected CSV format: v2.1 (with device arch and worker core count)
Using user-specified architecture: blackhole (CSV detected blackhole)
Architecture: blackhole, Worker cores: 110
Sorting CSV by 'HOST START TS' column...
Using operations after 'PERF_DECODE_layer0_sliding_attention_seq1024_batch1'.
Using operations until 'PERF_DECODE_layer0_sliding_attention_seq1024_batch1_END'.
Detected data from 4 devices. Merging device data...

🚀 Performance Report 🚀
========================

ID     Total %  Bound  OP Code                                                     Device   Device Time  Op-to-Op Gap  Cores  DRAM      DRAM %  FLOPs        FLOPs %  Math Fidelity
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 7259    0.0 %         ShardedToInterleavedDeviceOperation                               1         1 μs          1 μs     22                                                       BF16 => BF16
 7260    0.0 %         TypecastDeviceOperation                                           1         2 μs          1 μs     88                                                       BF16 => FP32
 7266    0.0 %         SliceDeviceOperation                                              1         1 μs          1 μs      1                                                   UINT16 => UINT16
 7273    0.1 %   SLOW  SparseMatmulDeviceOperation active=8/128 x 32 x 2816 x 384        1       107 μs          1 μs      6   81 GB/s  15.8 %   5.2 TFLOPs   15.6 %   LoFi BF16 x BFP8 => BF16
 7274    0.0 %         TransposeDeviceOperation                                          1         6 μs          0 μs    110                                                       BF16 => BF16
 7276    0.0 %         SliceDeviceOperation                                              1         2 μs          1 μs     24                                                       BF16 => BF16
 7281    0.0 %         TransposeDeviceOperation                                          1        37 μs          1 μs    110                                                       BF16 => BF16
 7286    0.0 %         InterleavedToShardedDeviceOperation                               1         1 μs          1 μs     88                                                       BF16 => BF16
 7291    0.0 %         BinaryNgDeviceOperation                                           1         2 μs          1 μs    110                                                 BF16, BF16 => BF16
 7297    0.0 %         ShardedToInterleavedDeviceOperation                               0         1 μs          1 μs     22                                                       BF16 => BF16
 7306    0.0 %         InterleavedToShardedDeviceOperation                               0         1 μs          1 μs      1                                                       BF16 => BF16
 7308    0.0 %         InterleavedToShardedDeviceOperation                               0         1 μs          1 μs      1                                                       BF16 => BF16
 7311    0.0 %         RotaryEmbeddingHfDeviceOperation                                  0         3 μs          1 μs      1                                                 BF16, BF16 => BF16
 7320    0.0 %   FLOP  MatmulDeviceOperation 32 x 1024 x 2816                            0        25 μs          1 μs      8  231 GB/s  45.2 %   7.4 TFLOPs   66.9 %  HiFi4 BF16 x BF16 => BF16
 7323    0.0 %         AllReduceAsyncDeviceOperation                                     0        18 μs          1 μs     90                                                 BF16, BF16 => BF16
 7324    0.0 %         ShardedToInterleavedDeviceOperation                               0         1 μs          1 μs     88                                                       BF16 => BF16
 7328    0.0 %         BinaryNgDeviceOperation                                           0         1 μs          1 μs    110                                                 BF16, BF16 => BF16
 7329    0.0 %         LayerNormDeviceOperation                                          0         6 μs          1 μs     22                                                       BF16 => BF16
 7330    0.0 %         ShardedToInterleavedDeviceOperation                               0         1 μs          1 μs     22                                                       BF16 => BF16
 7332    0.0 %   SLOW  MatmulDeviceOperation 32 x 2816 x 1088                            0        13 μs          1 μs      8  231 GB/s  45.1 %  14.8 TFLOPs   33.4 %   LoFi BF16 x BFP8 => BF16
