Detected CSV format: v2.1 (with device arch and worker core count)
Using user-specified architecture: blackhole (CSV detected blackhole)
Architecture: blackhole, Worker cores: 110
Sorting CSV by 'HOST START TS' column...
Using operations after 'PERF_DECODE_layer5_full_attention_seq1024_batch1'.
Using operations until 'PERF_DECODE_layer5_full_attention_seq1024_batch1_END'.
Detected data from 2 devices. Merging device data...

🚀 Performance Report 🚀
========================

ID     Total %  Bound  OP Code                                                     Device   Device Time  Op-to-Op Gap  Cores  DRAM      DRAM %  FLOPs        FLOPs %  Math Fidelity
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 3307    0.0 %         BinaryNgDeviceOperation                                           1         1 μs          1 μs    110                                                 BF16, BF16 => BF16
 3310    0.0 %         ShardedToInterleavedDeviceOperation                               1         1 μs          1 μs     22                                                       BF16 => BF16
 3312    0.0 %         LayerNormDeviceOperation                                          0         6 μs          5 μs     22                                                 BF16, BF16 => BF16
 3313    0.0 %         ShardedToInterleavedDeviceOperation                               0         1 μs          1 μs     22                                                       BF16 => BF16
 3314    0.1 %   SLOW  MatmulDeviceOperation 32 x 2816 x 5120                            0        58 μs          3 μs     80  256 GB/s  50.0 %  15.8 TFLOPs    7.2 %  HiFi2 BF16 x BFP8 => BF16
 3316    0.0 %         ShardedToInterleavedDeviceOperation                               0         1 μs          1 μs      1                                                       BF16 => BF16
 3319    0.0 %         LayerNormDeviceOperation                                          0         8 μs          1 μs      1                                                 BF16, BF16 => BF16
 3320    0.0 %         LayerNormDeviceOperation                                          0         8 μs          1 μs      1                                                 BF16, BF16 => BF16
 3321    0.0 %         LayerNormDeviceOperation                                          0         6 μs          1 μs      1                                                       BF16 => BF16
 3322    0.0 %         TransposeDeviceOperation                                          0         3 μs          1 μs    110                                                       BF16 => BF16
 3329    0.0 %         InterleavedToShardedDeviceOperation                               0         1 μs          2 μs      1                                                       BF16 => BF16
 3332    0.0 %         PagedUpdateCacheDeviceOperation                                   0         4 μs          1 μs      1                                                 BF16, BF16 => BF16
 3333    0.1 %         SdpaDecodeDeviceOperation                                         0        41 μs          3 μs     32                                                 BF16, BF16 => BF16
