# DENSE decode program-config sweep, per-device TP=4 shapes. grid 11x10
# columns: role M K N family cores in0_block_w per_core_N us spread
# --- attn_in M=32 K=2048 N=2560 weight=bfloat8_b fidelity=HiFi2 single_chip=(2048, 9216)
DENSE gdn_in 32 2048 3136 default - - - 48.67 0.24
DENSE gdn_in 32 2048 3136 mcast1d 4 1 25 77.75 0.20
DENSE gdn_in 32 2048 3136 mcast1d 4 2 25 65.47 0.15
DENSE gdn_in 32 2048 3136 mcast1d 4 4 25 60.42 0.10
DENSE gdn_in 32 2048 3136 mcast1d 4 8 25 59.95 0.21
DENSE gdn_in 32 2048 3136 mcast1d 4 16 25 63.80 0.10
DENSE gdn_in 32 2048 3136 mcast1d 4 32 25 FAIL RuntimeError
DENSE gdn_in 32 2048 3136 mcast1d 8 1 13 56.98 0.56
DENSE gdn_in 32 2048 3136 mcast1d 8 2 13 44.23 0.21
DENSE gdn_in 32 2048 3136 mcast1d 8 4 13 38.29 0.20
DENSE gdn_in 32 2048 3136 mcast1d 8 8 13 35.75 0.97
DENSE gdn_in 32 2048 3136 mcast1d 8 16 13 36.37 0.07
DENSE gdn_in 32 2048 3136 mcast1d 8 32 13 41.00 0.21
DENSE gdn_in 32 2048 3136 mcast1d 22 1 5 54.07 0.21
DENSE gdn_in 32 2048 3136 mcast1d 22 2 5 32.77 0.10
DENSE gdn_in 32 2048 3136 mcast1d 22 4 5 23.32 0.07
DENSE gdn_in 32 2048 3136 mcast1d 22 8 5 22.24 0.27
DENSE gdn_in 32 2048 3136 mcast1d 22 16 5 23.11 0.27
DENSE gdn_in 32 2048 3136 mcast1d 22 32 5 25.18 0.07
DENSE gdn_in 32 2048 3136 mcast1d 33 1 3 58.09 0.07
DENSE gdn_in 32 2048 3136 mcast1d 33 2 3 32.40 0.18
DENSE gdn_in 32 2048 3136 mcast1d 33 4 3 21.45 0.07
DENSE gdn_in 32 2048 3136 mcast1d 33 8 3 20.38 0.13
DENSE gdn_in 32 2048 3136 mcast1d 33 16 3 21.29 0.06
DENSE gdn_in 32 2048 3136 mcast1d 33 32 3 22.97 0.33
DENSE gdn_in 32 2048 3136 mcast1d 33 1 3 58.32 0.05
DENSE gdn_in 32 2048 3136 mcast1d 33 2 3 32.60 0.10
DENSE gdn_in 32 2048 3136 mcast1d 33 4 3 21.45 0.18
DENSE gdn_in 32 2048 3136 mcast1d 33 8 3 20.61 0.08
DENSE gdn_in 32 2048 3136 mcast1d 33 16 3 21.35 0.27
DENSE gdn_in 32 2048 3136 mcast1d 33 32 3 23.03 0.17
DENSE gdn_in 32 2048 3136 mcast1d 55 1 2 65.42 0.24
DENSE gdn_in 32 2048 3136 mcast1d 55 2 2 35.54 0.12
DENSE gdn_in 32 2048 3136 mcast1d 55 4 2 21.26 0.11
DENSE gdn_in 32 2048 3136 mcast1d 55 8 2 21.64 0.04
DENSE gdn_in 32 2048 3136 mcast1d 55 16 2 21.95 0.10
DENSE gdn_in 32 2048 3136 mcast1d 55 32 2 23.38 0.21
DENSE gdn_in 32 2048 3136 mcast1d 66 1 2 65.41 0.10
DENSE gdn_in 32 2048 3136 mcast1d 66 2 2 35.48 0.21
DENSE gdn_in 32 2048 3136 mcast1d 66 4 2 21.22 0.04
DENSE gdn_in 32 2048 3136 mcast1d 66 8 2 21.51 0.21
DENSE gdn_in 32 2048 3136 mcast1d 66 16 2 21.89 0.11
DENSE gdn_in 32 2048 3136 mcast1d 66 32 2 23.48 0.06
DENSE gdn_in 32 2048 3136 mcast1d 88 1 2 65.42 0.18
DENSE gdn_in 32 2048 3136 mcast1d 88 2 2 35.51 0.11
DENSE gdn_in 32 2048 3136 mcast1d 88 4 2 21.26 0.02
DENSE gdn_in 32 2048 3136 mcast1d 88 8 2 21.48 0.10
DENSE gdn_in 32 2048 3136 mcast1d 88 16 2 21.91 0.21
DENSE gdn_in 32 2048 3136 mcast1d 88 32 2 23.42 0.29
DENSE gdn_in 32 2048 3136 mcast1d 110 1 1 93.35 0.12
DENSE gdn_in 32 2048 3136 mcast1d 110 2 1 48.77 0.46
DENSE gdn_in 32 2048 3136 mcast1d 110 4 1 26.56 0.26
DENSE gdn_in 32 2048 3136 mcast1d 110 8 1 20.46 0.24
DENSE gdn_in 32 2048 3136 mcast1d 110 16 1 20.59 0.38
DENSE gdn_in 32 2048 3136 mcast1d 110 32 1 21.06 0.17
# --- gdn_out M=32 K=1024 N=2048 weight=bfloat8_b fidelity=HiFi2 single_chip=(4096, 2048)
DENSE gdn_out 32 1024 2048 default - - - 21.23 0.07
DENSE gdn_out 32 1024 2048 mcast1d 4 1 16 31.57 0.26
DENSE gdn_out 32 1024 2048 mcast1d 4 2 16 26.09 0.11
DENSE gdn_out 32 1024 2048 mcast1d 4 4 16 23.71 0.13
DENSE gdn_out 32 1024 2048 mcast1d 4 8 16 24.02 0.15
DENSE gdn_out 32 1024 2048 mcast1d 4 16 16 26.42 0.07
DENSE gdn_out 32 1024 2048 mcast1d 4 32 16 31.67 0.18
DENSE gdn_out 32 1024 2048 mcast1d 8 1 8 26.06 0.20
DENSE gdn_out 32 1024 2048 mcast1d 8 2 8 17.96 0.13
DENSE gdn_out 32 1024 2048 mcast1d 8 4 8 15.47 0.10
DENSE gdn_out 32 1024 2048 mcast1d 8 8 8 14.75 0.11
DENSE gdn_out 32 1024 2048 mcast1d 8 16 8 15.64 0.07
DENSE gdn_out 32 1024 2048 mcast1d 8 32 8 18.12 0.11
DENSE gdn_out 32 1024 2048 mcast1d 22 1 3 28.18 0.06
DENSE gdn_out 32 1024 2048 mcast1d 22 2 3 16.89 0.06
DENSE gdn_out 32 1024 2048 mcast1d 22 4 3 11.59 0.07
DENSE gdn_out 32 1024 2048 mcast1d 22 8 3 9.21 0.20
DENSE gdn_out 32 1024 2048 mcast1d 22 16 3 9.21 0.12
DENSE gdn_out 32 1024 2048 mcast1d 22 32 3 10.18 0.04
DENSE gdn_out 32 1024 2048 mcast1d 33 1 2 30.09 0.10
DENSE gdn_out 32 1024 2048 mcast1d 33 2 2 17.52 0.06
DENSE gdn_out 32 1024 2048 mcast1d 33 4 2 11.30 0.06
