# CCL sweep, 4 devices, FABRIC_1D_RING, num_links=2, max_payload=8192 B
# columns: shape arm mode us correct_pcc
CCLFAB line rows96 rs_ag_ring eager 139.85 0.999998
CCLFAB line rows96 rs_ag_ring trace 28.84 0.999998
CCLFAB line rows96 rs_only_ring eager 66.12 0.999998
CCLFAB line rows96 rs_only_ring trace 16.34 0.999998
CCLFAB line rows96 all_reduce_linear eager 118.55 0.999997
CCLFAB line rows96 all_reduce_linear trace 34.84 0.999997
CCLFAB line rows96 rs_ag_linear eager 120.95 0.999997
CCLFAB line rows96 rs_ag_linear trace 34.87 0.999997
CCLFAB line rows96 rs_only_linear eager 66.41 0.999997
CCLFAB line rows96 rs_only_linear trace 22.93 0.999997
CCLFAB line rows96 ag_stack_sum eager 59.46 0.999998
CCLFAB line rows96 ag_stack_sum trace 35.36 0.999998
CCLFAB line rows96 all_reduce_async eager 131.58 0.999997
CCLFAB line rows96 all_reduce_async trace 42.21 0.999997
CCLFAB line rows96 all_reduce_async_l1 eager 134.98 0.999997
CCLFAB line rows96 all_reduce_async_l1 trace 41.32 0.999997
CCLFAB line rows128 all_reduce_ring eager 126.09 0.999998
CCLFAB line rows128 all_reduce_ring trace 32.59 0.999998
CCLFAB line rows128 rs_ag_ring eager 119.37 0.999998
CCLFAB line rows128 rs_ag_ring trace 32.60 0.999998
CCLFAB line rows128 rs_only_ring eager 65.73 0.999998
CCLFAB line rows128 rs_only_ring trace 18.15 0.999998
CCLFAB line rows128 all_reduce_linear eager 119.22 0.999997
CCLFAB line rows128 all_reduce_linear trace 39.60 0.999997
CCLFAB line rows128 rs_ag_linear eager 119.26 0.999997
CCLFAB line rows128 rs_ag_linear trace 39.51 0.999997
CCLFAB line rows128 rs_only_linear eager 66.88 0.999997
CCLFAB line rows128 rs_only_linear trace 25.40 0.999997
CCLFAB line rows128 ag_stack_sum eager 64.45 0.999998
CCLFAB line rows128 ag_stack_sum trace 59.81 0.999998
CCLFAB line rows128 all_reduce_async eager 129.60 0.999997
CCLFAB line rows128 all_reduce_async trace 47.22 0.999997
CCLFAB line rows128 all_reduce_async_l1 eager 139.87 0.999997
CCLFAB line rows128 all_reduce_async_l1 trace 46.19 0.999997
CCLFAB line rows256 all_reduce_ring eager 125.78 0.999998
CCLFAB line rows256 all_reduce_ring trace 46.10 0.999998
CCLFAB line rows256 rs_ag_ring eager 117.11 0.999998
CCLFAB line rows256 rs_ag_ring trace 46.11 0.999998
CCLFAB line rows256 rs_only_ring eager 75.88 0.999998
CCLFAB line rows256 rs_only_ring trace 24.28 0.999998
CCLFAB line rows256 all_reduce_linear eager 122.55 0.999997
CCLFAB line rows256 all_reduce_linear trace 56.68 0.999997
CCLFAB line rows256 rs_ag_linear eager 121.10 0.999997
CCLFAB line rows256 rs_ag_linear trace 56.62 0.999997
CCLFAB line rows256 rs_only_linear eager 64.28 0.999997
CCLFAB line rows256 rs_only_linear trace 35.81 0.999997
CCLFAB line rows256 ag_stack_sum eager 111.94 0.999998
CCLFAB line rows256 ag_stack_sum trace 111.43 0.999998
CCLFAB line rows256 all_reduce_async eager 126.58 0.999997
CCLFAB line rows256 all_reduce_async trace 65.10 0.999997
CCLFAB line rows256 all_reduce_async_l1 eager 130.41 0.999997
CCLFAB line rows256 all_reduce_async_l1 trace 64.56 0.999997
CCLFAB line rows512 all_reduce_ring eager 121.65 0.999998
CCLFAB line rows512 all_reduce_ring trace 88.46 0.999998
